# --------------------------------------------------------------------
# USE OF NOAA ESRL DATA
# 
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# insure that ESRL receives fair credit for their work.  If the data 
# are obtained for potential use in a publication or presentation, 
# ESRL should be informed at the outset of the nature of this work.  
# If the ESRL data are essential to the work, or if an important 
# result or conclusion depends on the ESRL data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the ESRL data should be sent to ESRL
# for review before they are submitted for publication so we can
# insure that the quality and limitations of the data are accurately
# represented.
# 
# Contact:   Ed Dlugokencky (303 497 6228; ed.dlugokencky@noaa.gov)
# 
# File Creation:  Thu Jan  5 04:05:03 2017
# 
# RECIPROCITY
# 
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the ESRL data, namely well documented model code, transport
# fields, and additional information necessary for other
# scientists to repeat the work and to run modified versions.
# Model availability includes collaborative support for new
# users of the models.
# --------------------------------------------------------------------
#  
#  
# See www.esrl.noaa.gov/gmd/ccgg/trends_ch4/ for additional details.
#  
# The uncertainty in the global monthly mean is estimated using a
# monte carlo technique that computes 100 globally-averaged time
# series, each time using a slightly different set of measurement
# records from the NOAA ESRL cooperative air sampling network.  The
# reported uncertainties are the standard deviations
# for each monthly mean using this technique.  Please see Dlugokencky et
# al., 1994, JGR, vol. 99, 17021-17043, for a complete discussion. Units are ppb.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
#
# year   month       decimal       average   average_unc         trend     trend_unc
  1990       5      1990.375        1711.0           0.8        1712.5           0.6
  1990       6      1990.458        1708.5           0.8        1713.2           0.6
  1990       7      1990.542        1706.1           0.7        1713.9           0.7
  1990       8      1990.625        1709.0           1.4        1714.7           0.7
  1990       9      1990.708        1716.5           1.3        1715.4           0.7
  1990      10      1990.792        1721.6           1.0        1716.2           0.7
  1990      11      1990.875        1723.3           1.0        1717.1           0.7
  1990      12      1990.958        1723.1           1.1        1718.0           0.7
  1991       1      1991.042        1721.3           1.2        1719.1           0.7
  1991       2      1991.125        1720.9           1.1        1720.2           0.6
  1991       3      1991.208        1721.6           0.8        1721.2           0.6
  1991       4      1991.292        1722.5           0.9        1722.4           0.6
  1991       5      1991.375        1723.0           0.9        1723.6           0.6
  1991       6      1991.458        1719.8           1.0        1724.9           0.6
  1991       7      1991.542        1715.8           0.9        1726.2           0.6
  1991       8      1991.625        1718.4           1.2        1727.6           0.7
  1991       9      1991.708        1725.8           1.8        1728.9           0.7
  1991      10      1991.792        1732.7           0.9        1730.1           0.6
  1991      11      1991.875        1737.6           0.7        1731.2           0.6
  1991      12      1991.958        1740.2           0.8        1732.3           0.6
  1992       1      1992.042        1739.2           1.0        1733.3           0.6
  1992       2      1992.125        1736.9           1.0        1734.0           0.6
  1992       3      1992.208        1736.0           0.9        1734.6           0.6
  1992       4      1992.292        1736.3           0.6        1735.0           0.6
  1992       5      1992.375        1735.7           0.7        1735.3           0.6
  1992       6      1992.458        1732.4           1.0        1735.5           0.5
  1992       7      1992.542        1728.9           1.0        1735.5           0.5
  1992       8      1992.625        1729.4           0.8        1735.5           0.5
  1992       9      1992.708        1733.4           0.7        1735.4           0.5
  1992      10      1992.792        1737.4           0.8        1735.2           0.5
  1992      11      1992.875        1739.5           1.1        1735.1           0.5
  1992      12      1992.958        1738.9           0.9        1735.0           0.5
  1993       1      1993.042        1735.5           0.9        1734.9           0.5
  1993       2      1993.125        1734.0           1.1        1734.9           0.5
  1993       3      1993.208        1735.3           1.0        1735.0           0.5
  1993       4      1993.292        1736.7           0.7        1735.1           0.5
  1993       5      1993.375        1734.9           0.7        1735.3           0.5
  1993       6      1993.458        1730.9           0.8        1735.6           0.5
  1993       7      1993.542        1728.1           0.9        1736.0           0.5
  1993       8      1993.625        1730.5           0.8        1736.4           0.5
  1993       9      1993.708        1737.4           0.7        1736.9           0.5
  1993      10      1993.792        1742.8           0.7        1737.4           0.5
  1993      11      1993.875        1745.3           0.6        1737.9           0.5
  1993      12      1993.958        1744.7           0.8        1738.5           0.5
  1994       1      1994.042        1741.1           0.9        1739.1           0.5
  1994       2      1994.125        1740.4           0.8        1739.7           0.5
  1994       3      1994.208        1741.7           0.8        1740.2           0.5
  1994       4      1994.292        1741.9           0.7        1740.8           0.5
  1994       5      1994.375        1740.8           0.9        1741.4           0.5
  1994       6      1994.458        1737.2           1.0        1742.0           0.5
  1994       7      1994.542        1732.4           1.0        1742.6           0.5
  1994       8      1994.625        1733.2           1.0        1743.3           0.5
  1994       9      1994.708        1741.5           0.8        1743.9           0.5
  1994      10      1994.792        1749.3           0.6        1744.5           0.5
  1994      11      1994.875        1751.3           0.7        1745.1           0.5
  1994      12      1994.958        1751.2           0.9        1745.7           0.5
  1995       1      1995.042        1751.0           0.9        1746.4           0.5
  1995       2      1995.125        1749.7           0.8        1746.9           0.4
  1995       3      1995.208        1749.1           0.6        1747.4           0.4
  1995       4      1995.292        1749.3           0.7        1747.8           0.4
  1995       5      1995.375        1747.8           1.0        1748.2           0.4
  1995       6      1995.458        1743.0           0.9        1748.6           0.4
  1995       7      1995.542        1739.7           0.8        1748.9           0.4
  1995       8      1995.625        1742.7           1.1        1749.2           0.4
  1995       9      1995.708        1748.9           1.1        1749.4           0.4
  1995      10      1995.792        1753.9           0.8        1749.6           0.5
  1995      11      1995.875        1755.5           0.9        1749.7           0.5
  1995      12      1995.958        1754.0           1.0        1749.9           0.5
  1996       1      1996.042        1752.5           0.9        1750.0           0.5
  1996       2      1996.125        1753.4           1.0        1750.1           0.6
  1996       3      1996.208        1752.6           0.8        1750.2           0.6
  1996       4      1996.292        1749.5           0.9        1750.4           0.6
  1996       5      1996.375        1747.8           1.1        1750.5           0.7
  1996       6      1996.458        1745.8           0.9        1750.7           0.7
  1996       7      1996.542        1741.8           0.9        1750.9           0.7
  1996       8      1996.625        1742.8           1.2        1751.1           0.7
  1996       9      1996.708        1751.0           1.3        1751.3           0.7
  1996      10      1996.792        1758.8           0.9        1751.6           0.6
  1996      11      1996.875        1759.9           0.8        1751.8           0.6
  1996      12      1996.958        1756.9           0.7        1752.0           0.6
  1997       1      1997.042        1753.1           0.8        1752.3           0.5
  1997       2      1997.125        1753.6           1.0        1752.6           0.5
  1997       3      1997.208        1755.1           0.8        1752.8           0.4
  1997       4      1997.292        1754.9           1.1        1753.1           0.4
  1997       5      1997.375        1753.5           0.8        1753.5           0.3
  1997       6      1997.458        1750.1           0.8        1753.9           0.3
  1997       7      1997.542        1746.1           0.9        1754.4           0.3
  1997       8      1997.625        1747.5           0.8        1755.0           0.3
  1997       9      1997.708        1754.5           0.9        1755.6           0.4
  1997      10      1997.792        1760.0           0.8        1756.4           0.4
  1997      11      1997.875        1761.8           0.9        1757.2           0.5
  1997      12      1997.958        1761.7           0.8        1758.2           0.5
  1998       1      1998.042        1761.0           0.8        1759.3           0.5
  1998       2      1998.125        1761.1           1.3        1760.4           0.6
  1998       3      1998.208        1762.3           1.7        1761.4           0.6
  1998       4      1998.292        1764.3           1.2        1762.6           0.6
  1998       5      1998.375        1764.4           0.9        1763.7           0.7
  1998       6      1998.458        1760.7           0.7        1764.9           0.7
  1998       7      1998.542        1756.3           0.9        1766.0           0.7
  1998       8      1998.625        1759.4           0.9        1767.1           0.7
  1998       9      1998.708        1769.4           1.4        1768.1           0.7
  1998      10      1998.792        1775.7           1.3        1768.9           0.7
  1998      11      1998.875        1775.5           0.9        1769.7           0.7
  1998      12      1998.958        1774.1           0.8        1770.4           0.7
  1999       1      1999.042        1773.7           1.0        1771.0           0.7
  1999       2      1999.125        1773.6           1.6        1771.5           0.7
  1999       3      1999.208        1774.0           1.4        1771.8           0.7
  1999       4      1999.292        1774.6           0.6        1772.1           0.7
  1999       5      1999.375        1772.5           0.9        1772.4           0.6
  1999       6      1999.458        1767.3           0.8        1772.5           0.6
  1999       7      1999.542        1763.0           0.8        1772.6           0.6
  1999       8      1999.625        1764.2           0.8        1772.7           0.6
  1999       9      1999.708        1770.1           0.8        1772.8           0.5
  1999      10      1999.792        1775.9           0.8        1772.9           0.5
  1999      11      1999.875        1778.0           0.8        1772.9           0.5
  1999      12      1999.958        1776.8           0.8        1772.9           0.5
  2000       1      2000.042        1775.4           0.9        1773.0           0.5
  2000       2      2000.125        1775.1           1.3        1773.0           0.6
  2000       3      2000.208        1775.7           1.1        1773.0           0.6
  2000       4      2000.292        1776.6           0.9        1773.0           0.6
  2000       5      2000.375        1774.7           0.9        1772.9           0.6
  2000       6      2000.458        1768.4           0.8        1772.9           0.7
  2000       7      2000.542        1763.4           0.8        1772.8           0.7
  2000       8      2000.625        1765.1           1.1        1772.6           0.7
  2000       9      2000.708        1771.6           1.1        1772.5           0.7
  2000      10      2000.792        1777.3           0.9        1772.3           0.7
  2000      11      2000.875        1777.8           0.9        1772.1           0.7
  2000      12      2000.958        1775.3           1.0        1771.9           0.7
  2001       1      2001.042        1772.5           0.9        1771.7           0.7
  2001       2      2001.125        1772.2           1.0        1771.5           0.7
  2001       3      2001.208        1773.3           1.1        1771.3           0.7
  2001       4      2001.292        1773.8           0.8        1771.2           0.7
  2001       5      2001.375        1771.0           0.8        1771.0           0.6
  2001       6      2001.458        1765.9           1.0        1770.9           0.6
  2001       7      2001.542        1762.6           1.0        1770.9           0.6
  2001       8      2001.625        1763.7           0.9        1770.8           0.6
  2001       9      2001.708        1769.5           0.9        1770.8           0.6
  2001      10      2001.792        1775.2           0.7        1770.9           0.5
  2001      11      2001.875        1776.7           0.8        1771.0           0.5
  2001      12      2001.958        1775.8           1.1        1771.0           0.5
  2002       1      2002.042        1773.7           1.1        1771.2           0.5
  2002       2      2002.125        1772.7           1.0        1771.3           0.4
  2002       3      2002.208        1773.2           0.7        1771.4           0.4
  2002       4      2002.292        1772.7           0.7        1771.6           0.4
  2002       5      2002.375        1770.4           0.7        1771.8           0.4
  2002       6      2002.458        1766.9           0.8        1772.0           0.5
  2002       7      2002.542        1764.2           0.9        1772.3           0.5
  2002       8      2002.625        1766.6           1.0        1772.5           0.5
  2002       9      2002.708        1773.3           0.9        1772.8           0.5
  2002      10      2002.792        1778.2           1.4        1773.2           0.6
  2002      11      2002.875        1779.6           1.1        1773.6           0.6
  2002      12      2002.958        1779.4           0.7        1774.0           0.6
  2003       1      2003.042        1777.4           1.0        1774.5           0.6
  2003       2      2003.125        1774.6           1.1        1775.0           0.6
  2003       3      2003.208        1773.8           0.8        1775.5           0.6
  2003       4      2003.292        1774.6           1.3        1776.0           0.6
  2003       5      2003.375        1774.1           1.0        1776.6           0.6
  2003       6      2003.458        1771.5           1.2        1777.1           0.6
  2003       7      2003.542        1770.5           1.9        1777.6           0.6
  2003       8      2003.625        1774.0           1.7        1778.0           0.5
  2003       9      2003.708        1780.0           1.1        1778.4           0.6
  2003      10      2003.792        1784.0           0.7        1778.7           0.6
  2003      11      2003.875        1784.7           0.8        1778.9           0.6
  2003      12      2003.958        1783.1           1.0        1778.9           0.6
  2004       1      2004.042        1780.3           0.9        1778.9           0.6
  2004       2      2004.125        1779.6           0.9        1778.7           0.6
  2004       3      2004.208        1780.7           1.0        1778.5           0.6
  2004       4      2004.292        1780.5           0.9        1778.2           0.6
  2004       5      2004.375        1777.6           0.9        1777.8           0.6
  2004       6      2004.458        1772.5           0.9        1777.3           0.6
  2004       7      2004.542        1767.9           0.7        1776.8           0.6
  2004       8      2004.625        1769.5           0.8        1776.3           0.6
  2004       9      2004.708        1775.7           1.1        1775.8           0.6
  2004      10      2004.792        1779.9           1.1        1775.2           0.6
  2004      11      2004.875        1780.3           1.1        1774.8           0.6
  2004      12      2004.958        1778.3           0.9        1774.5           0.6
  2005       1      2005.042        1775.4           1.0        1774.2           0.6
  2005       2      2005.125        1775.0           1.1        1774.0           0.6
  2005       3      2005.208        1775.2           1.1        1773.9           0.6
  2005       4      2005.292        1774.6           0.8        1773.9           0.6
  2005       5      2005.375        1772.4           0.7        1773.9           0.7
  2005       6      2005.458        1768.9           0.9        1774.0           0.7
  2005       7      2005.542        1766.4           0.9        1774.1           0.7
  2005       8      2005.625        1767.8           1.1        1774.2           0.7
  2005       9      2005.708        1772.6           1.4        1774.3           0.7
  2005      10      2005.792        1778.0           1.4        1774.4           0.7
  2005      11      2005.875        1781.0           0.9        1774.5           0.7
  2005      12      2005.958        1780.0           1.1        1774.6           0.6
  2006       1      2006.042        1779.0           0.8        1774.6           0.6
  2006       2      2006.125        1779.0           0.9        1774.6           0.6
  2006       3      2006.208        1777.0           0.9        1774.5           0.5
  2006       4      2006.292        1775.7           0.7        1774.5           0.5
  2006       5      2006.375        1775.1           0.9        1774.5           0.5
  2006       6      2006.458        1769.8           1.4        1774.5           0.5
  2006       7      2006.542        1764.2           1.3        1774.6           0.5
  2006       8      2006.625        1766.6           1.2        1774.7           0.5
  2006       9      2006.708        1773.9           1.5        1774.9           0.5
  2006      10      2006.792        1777.9           0.9        1775.2           0.5
  2006      11      2006.875        1778.6           0.7        1775.6           0.5
  2006      12      2006.958        1779.5           0.8        1776.1           0.5
  2007       1      2007.042        1779.2           1.2        1776.8           0.6
  2007       2      2007.125        1778.4           1.1        1777.4           0.6
  2007       3      2007.208        1779.7           1.0        1778.0           0.6
  2007       4      2007.292        1780.9           1.1        1778.7           0.6
  2007       5      2007.375        1779.7           1.2        1779.5           0.6
  2007       6      2007.458        1775.6           0.9        1780.2           0.6
  2007       7      2007.542        1771.9           1.0        1780.9           0.6
  2007       8      2007.625        1776.0           1.4        1781.6           0.5
  2007       9      2007.708        1784.8           1.4        1782.3           0.5
  2007      10      2007.792        1789.3           1.0        1782.9           0.5
  2007      11      2007.875        1789.6           1.0        1783.4           0.5
  2007      12      2007.958        1788.6           1.1        1784.0           0.5
  2008       1      2008.042        1786.7           1.0        1784.5           0.5
  2008       2      2008.125        1785.5           1.0        1785.0           0.5
  2008       3      2008.208        1785.6           1.2        1785.5           0.5
  2008       4      2008.292        1786.4           0.9        1786.0           0.5
  2008       5      2008.375        1785.4           0.9        1786.5           0.5
  2008       6      2008.458        1780.7           0.8        1787.0           0.5
  2008       7      2008.542        1777.2           0.9        1787.5           0.5
  2008       8      2008.625        1779.9           1.1        1788.1           0.5
  2008       9      2008.708        1786.4           1.0        1788.7           0.5
  2008      10      2008.792        1793.6           0.7        1789.3           0.5
  2008      11      2008.875        1797.7           1.1        1789.9           0.5
  2008      12      2008.958        1796.5           1.1        1790.4           0.5
  2009       1      2009.042        1794.3           0.9        1791.0           0.5
  2009       2      2009.125        1795.2           1.2        1791.6           0.5
  2009       3      2009.208        1795.6           1.3        1792.0           0.5
  2009       4      2009.292        1795.2           1.0        1792.5           0.6
  2009       5      2009.375        1792.6           0.7        1792.9           0.6
  2009       6      2009.458        1787.2           0.9        1793.3           0.6
  2009       7      2009.542        1784.6           0.9        1793.7           0.6
  2009       8      2009.625        1787.9           0.8        1794.1           0.7
  2009       9      2009.708        1794.3           1.1        1794.4           0.7
  2009      10      2009.792        1798.1           1.2        1794.7           0.7
  2009      11      2009.875        1797.9           0.7        1795.0           0.7
  2009      12      2009.958        1796.5           0.9        1795.3           0.7
  2010       1      2010.042        1797.3           1.4        1795.7           0.7
  2010       2      2010.125        1798.8           1.4        1796.1           0.7
  2010       3      2010.208        1798.6           1.2        1796.4           0.6
  2010       4      2010.292        1798.9           1.0        1796.8           0.7
  2010       5      2010.375        1797.6           1.2        1797.2           0.7
  2010       6      2010.458        1792.5           1.1        1797.6           0.7
  2010       7      2010.542        1789.1           0.8        1798.0           0.7
  2010       8      2010.625        1793.0           1.0        1798.5           0.7
  2010       9      2010.708        1800.8           1.2        1798.9           0.8
  2010      10      2010.792        1806.2           1.3        1799.4           0.8
  2010      11      2010.875        1807.0           1.2        1799.8           0.8
  2010      12      2010.958        1804.0           1.1        1800.3           0.8
  2011       1      2011.042        1801.0           1.0        1800.8           0.8
  2011       2      2011.125        1799.8           0.8        1801.3           0.8
  2011       3      2011.208        1799.5           0.5        1801.7           0.8
  2011       4      2011.292        1801.8           0.7        1802.2           0.8
  2011       5      2011.375        1803.2           1.0        1802.6           0.8
  2011       6      2011.458        1799.0           0.9        1803.1           0.8
  2011       7      2011.542        1795.8           0.9        1803.6           0.8
  2011       8      2011.625        1798.8           1.1        1804.0           0.8
  2011       9      2011.708        1804.3           1.7        1804.5           0.8
  2011      10      2011.792        1809.7           1.5        1804.9           0.7
  2011      11      2011.875        1812.5           1.2        1805.3           0.7
  2011      12      2011.958        1810.5           1.1        1805.8           0.7
  2012       1      2012.042        1808.4           1.0        1806.3           0.7
  2012       2      2012.125        1809.2           1.3        1806.7           0.7
  2012       3      2012.208        1810.1           0.9        1807.1           0.7
  2012       4      2012.292        1808.4           0.6        1807.5           0.6
  2012       5      2012.375        1804.8           1.4        1807.9           0.6
  2012       6      2012.458        1800.9           1.4        1808.3           0.6
  2012       7      2012.542        1799.0           1.1        1808.7           0.6
  2012       8      2012.625        1802.5           0.8        1809.1           0.5
  2012       9      2012.708        1809.6           1.1        1809.4           0.5
  2012      10      2012.792        1815.1           1.1        1809.9           0.5
  2012      11      2012.875        1816.2           1.1        1810.2           0.5
  2012      12      2012.958        1814.6           0.8        1810.5           0.5
  2013       1      2013.042        1813.4           0.8        1810.9           0.5
  2013       2      2013.125        1813.5           1.6        1811.2           0.5
  2013       3      2013.208        1813.0           1.2        1811.5           0.5
  2013       4      2013.292        1812.9           0.6        1811.8           0.5
  2013       5      2013.375        1812.1           0.8        1812.2           0.5
  2013       6      2013.458        1808.9           1.2        1812.6           0.6
  2013       7      2013.542        1806.1           1.4        1813.0           0.6
  2013       8      2013.625        1807.8           1.0        1813.5           0.6
  2013       9      2013.708        1813.4           1.0        1814.0           0.6
  2013      10      2013.792        1818.4           0.8        1814.6           0.6
  2013      11      2013.875        1820.6           0.7        1815.2           0.6
  2013      12      2013.958        1819.6           0.9        1816.0           0.6
  2014       1      2014.042        1816.7           1.0        1816.9           0.6
  2014       2      2014.125        1816.2           1.1        1817.8           0.6
  2014       3      2014.208        1817.8           1.1        1818.7           0.6
  2014       4      2014.292        1820.7           0.7        1819.7           0.6
  2014       5      2014.375        1822.1           0.8        1820.8           0.6
  2014       6      2014.458        1818.5           0.9        1821.9           0.6
  2014       7      2014.542        1815.4           1.1        1823.0           0.6
  2014       8      2014.625        1819.0           1.2        1824.2           0.5
  2014       9      2014.708        1826.1           1.1        1825.3           0.5
  2014      10      2014.792        1831.0           0.6        1826.4           0.5
  2014      11      2014.875        1833.0           0.6        1827.5           0.5
  2014      12      2014.958        1833.2           0.8        1828.5           0.5
  2015       1      2015.042        1832.4           1.0        1829.6           0.5
  2015       2      2015.125        1832.1           0.9        1830.5           0.5
  2015       3      2015.208        1832.5           0.7        1831.3           0.5
  2015       4      2015.292        1833.1           1.0        1832.1           0.5
  2015       5      2015.375        1832.1           1.0        1832.9           0.5
  2015       6      2015.458        1827.6           0.8        1833.7           0.5
  2015       7      2015.542        1824.3           1.0        1834.5           0.6
  2015       8      2015.625        1828.2           1.0        1835.2           0.6
  2015       9      2015.708        1835.5           1.0        1836.0           0.6
  2015      10      2015.792        1840.9           0.9        1836.8           0.7
  2015      11      2015.875        1844.3           1.0        1837.5           0.7
  2015      12      2015.958        1844.8           1.2        1838.3           0.7
